DATE,CPIAUCSL
2007-10-01,209.190
2007-11-01,210.834
2007-12-01,211.445
2008-01-01,212.174
2008-02-01,212.687
2008-03-01,213.448
2008-04-01,213.942
2008-05-01,215.208
2008-06-01,217.463
2008-07-01,219.016
2008-08-01,218.690
2008-09-01,218.877
2008-10-01,216.995
2008-11-01,213.153
2008-12-01,211.398
2009-01-01,211.933
2009-02-01,212.705
2009-03-01,212.495
2009-04-01,212.709
2009-05-01,213.022
2009-06-01,214.790
2009-07-01,214.726
2009-08-01,215.445
2009-09-01,215.861
2009-10-01,216.509
2009-11-01,217.234
2009-12-01,217.347
2010-01-01,217.488
2010-02-01,217.281
2010-03-01,217.353
2010-04-01,217.403
2010-05-01,217.290
2010-06-01,217.199
2010-07-01,217.605
2010-08-01,217.923
2010-09-01,218.275
2010-10-01,219.035
2010-11-01,219.590
2010-12-01,220.472
2011-01-01,221.187
2011-02-01,221.898
2011-03-01,223.046
2011-04-01,224.093
2011-05-01,224.806
2011-06-01,224.806
2011-07-01,225.395
2011-08-01,226.106
2011-09-01,226.597
2011-10-01,226.750
2011-11-01,227.169
2011-12-01,227.223
2012-01-01,227.842
2012-02-01,228.329
2012-03-01,228.807
2012-04-01,229.187
2012-05-01,228.713
2012-06-01,228.524
2012-07-01,228.590
2012-08-01,229.918
2012-09-01,231.015
2012-10-01,231.638
2012-11-01,231.249
2012-12-01,231.221
2013-01-01,231.679
2013-02-01,232.937
2013-03-01,232.282
2013-04-01,231.797
2013-05-01,231.893
2013-06-01,232.445
2013-07-01,232.900
2013-08-01,233.456
2013-09-01,233.544
2013-10-01,233.669
2013-11-01,234.100
2013-12-01,234.719
2014-01-01,235.288
2014-02-01,235.547
2014-03-01,236.028
2014-04-01,236.468
2014-05-01,236.918
2014-06-01,237.231
2014-07-01,237.498
2014-08-01,237.460
2014-09-01,237.477
2014-10-01,237.430
2014-11-01,236.983
2014-12-01,236.252
2015-01-01,234.747
2015-02-01,235.342
2015-03-01,235.976
2015-04-01,236.222
2015-05-01,237.001
2015-06-01,237.657
2015-07-01,238.034
2015-08-01,238.033
2015-09-01,237.498
2015-10-01,237.733
2015-11-01,238.017
2015-12-01,237.761
2016-01-01,237.827
2016-02-01,237.514
2016-03-01,237.990
2016-04-01,238.835
2016-05-01,239.440
2016-06-01,240.144
2016-07-01,240.111
2016-08-01,240.595
2016-09-01,241.068
2016-10-01,241.641
2016-11-01,241.993
2016-12-01,242.712
2017-01-01,243.717
2017-02-01,244.028
2017-03-01,243.721
2017-04-01,244.058
2017-05-01,243.926
2017-06-01,244.179
2017-07-01,244.328
2017-08-01,245.304
2017-09-01,246.445
2017-10-01,246.570
2017-11-01,247.333
2017-12-01,247.847
2018-01-01,248.816
2018-02-01,249.475
2018-03-01,249.413
2018-04-01,249.957
2018-05-01,250.640
2018-06-01,251.176
2018-07-01,251.482
2018-08-01,251.905
2018-09-01,252.261
2018-10-01,252.777
2018-11-01,252.662
2018-12-01,252.653
2019-01-01,252.550
2019-02-01,253.181
2019-03-01,254.095
2019-04-01,254.943
2019-05-01,255.167
2019-06-01,255.402
2019-07-01,256.087
2019-08-01,256.294
2019-09-01,256.593
2019-10-01,257.229
2019-11-01,257.824
2019-12-01,258.444
2020-01-01,258.820
2020-02-01,259.050
2020-03-01,257.953
2020-04-01,255.902
2020-05-01,255.768
2020-06-01,257.214
2020-07-01,258.723
2020-08-01,259.681
2020-09-01,260.209
2020-10-01,260.325
